Data,Hora,Temperatura
27/09/2024,19:00,82 °F
27/09/2024,20:00,81 °F
27/09/2024,21:00,81 °F
27/09/2024,21:34,77 °F
27/09/2024,21:41,73 °F
27/09/2024,22:00,73 °F
27/09/2024,22:15,73 °F
27/09/2024,22:28,73 °F
27/09/2024,23:00,75 °F
28/09/2024,00:00,75 °F
28/09/2024,00:18,75 °F
28/09/2024,00:32,75 °F
28/09/2024,01:00,73 °F
28/09/2024,01:20,75 °F
28/09/2024,02:00,75 °F
28/09/2024,02:10,75 °F
28/09/2024,03:00,75 °F
28/09/2024,04:00,75 °F
28/09/2024,05:00,75 °F
28/09/2024,06:00,75 °F
28/09/2024,07:00,75 °F
28/09/2024,08:00,79 °F
28/09/2024,09:00,79 °F
28/09/2024,10:00,82 °F
28/09/2024,11:00,82 °F
28/09/2024,12:00,86 °F
28/09/2024,13:00,86 °F
28/09/2024,14:00,86 °F
28/09/2024,15:00,90 °F
28/09/2024,16:00,90 °F
28/09/2024,17:00,88 °F
28/09/2024,18:00,86 °F
28/09/2024,19:00,84 °F
28/09/2024,20:00,81 °F